id,min,eng
432,Apak bakumis labek tu manyabarang manggunoan zebra cross,That man with a thick moustache crossed the street using the zebra cross
433,"Banyak komen di tripadvisor mambuek wak penasaran, bamodalan paruik kosong supayo malahap lontong padang kesukaan wak ruponyo yo bana membuek kecewa, akhirnyo wak minta bungkuih se salero makan pun manjadi luntur. Masih mending makan lontong padang nan di itb, untuak raso masih jauah","Lots of comments in Tripadvisor made me curious With just an empty stomach, I came here to have my usual favorite lontong padang and was left utterly disappointed. In the end, I just took my orders home because my appetite was spoiled so hard. The lontong padang in ITB was leagues better, the taste just couldn't compete."
434,Susah payah selfie demi si samsung galaxy. Yang pantiang usaho jo tatap banyanyi,"Such effort, taking selfies for the sake of this Samsung Galaxy. Well, gotta keep working hard and keep singing"
435,"Makanan lamak, suasana sangaik asri dan sajuak jo banyak batang kayu, dan suaro aia sungai yang maalia buek tambah nyaman dan tanang. Palayan yang capek sahinggo wak indak manunggu lamo. Ado ruang salat yang nyaman. Menu makanan lamak harago manenggang","Food's tasty, the atmosphere is beautiful and breezy thanks to the trees along with the sound of flowing rivers, making it more comfortable and calming. The quick service means we don't have to wait long. There's also a homey salat room. Great food with affordable price."
436,"Indak pernah bosan! Dari tahun 1996 awak patamo kali kenal ayam goreang suharti, awak langsuang mangecekan ikolah ayam paliang top nan pernah awak makan. Resep rahasio dan bumbu kremesnyo manambah cito raso sorang dari ayam goreang legendaris asli indonesia ko","Never gets old! Since 1996 when I first learned about Ayam Goreng Suharti, I immediately declared it the best chicken I had ever ever eaten. The secret recipe and the sauce for the crisps add a unique flavor on this legendary Indonesian fried chicken."
437,"Promonyo mangicuah atau baa yo. Dicek keceknyo ado promo 77 ribu dapek kuota 30 gb diskon 40% dari harago aslinyo, pas awak isi pulsa sabanyak 80 ribu alun di daftaran apo-apo alah banyak tapotong 5 ribu. Baa bisa mode tu yo? Kecewa deknyo.","Is the promo real or not? I've checked that you could get a 30 GB quota for 77 thousand, 40% less than the original price. When I bought 80 thousand credits, my balance got slashed for 5 thousand and I haven't even done aything yet. Why did that happen? So disappointing."
438,Alternatif jaso barasiah-barasiah di jakarta. Awak alah mancubo. Sajauah ko hasilnyo labiah oke dari nan lain,"An alternative to cleaning services in Jakarta. I've tried it. So far, it's better than the others."
439,"Istri wak bali babarapo produk di toko yang samo, dan bareknyo alun sampai 1 kilo, manggunoan pangiriman via gosend, dikanaian ongkir 2x, kurang aja!","My wife bought several products from the same store, and the weight hadn't reached 1 kilogram. But when they sent it using Gosend Delivery, we had to pay twice the shipping cost, goddammit!"
440,Ba a tu wak baco penyataan sikap calon katua umum ko sadonyo mambosanan. Macam antahlah.,Why are all the candidates' statements so boring? It's just like...I don't even know
441,"Diajak kawan waktu masih kuliah, keceknyo satenyo lamak... tapi siap dicubo kurang masuak samo salero wak... hehe hanyo opini wak.","My friend took me here when I was in college, heard that the sate was good...but after trying it, it wasn't to my liking... hehe ust my opinion though"
442,"Panek dalam pajalanan jauah dari kota tabayia jo suasana dan lezatnyo hidangan, disampurnaan jo palayanan nan ramah samo capek dari pramusaji. Jan lupo piliah desert buah stroberi segar dihidangan jo susu coklat, ang ka katagiahan.","The tiring and long distance of our travel from the city was immediately paid off with the great vibe and delicious food, made perfect with hospitable and swift service from the waiters. Don't forget to try the fresh strawberry dessert served with chocolate milk, you'll get addicted for sure"
443,"Parkiran subananyo lueh, tapi dek pangunjuang banyak, kami harus parkir di tapi jalan. Namun petugas keamanan sangaik helpful maarahan. Kasan indak terlalu lueh, saleba rumah tuo standar, namun kironyo di dalam ado ruang nan lueh. Ado kursi jo sofa bacaman jenis, hampia indak samo sadolahnyo, namun kesannyo jadi manyanangan untuak kumpua.","The car parking lot was actually spacious, but since there were many customers, we had to park on the side of the road. Thankfully the security officer was very helpful in directing us. It didn't feel that wide at first, just as wide as a standard old house, but the interior was deceptively vast. There were all kinds of seats and sofas, almost none of which were the same, and that made for a great vibe to hang out around."
444,"Makanan di siko cukuik lamak, tapi haragonyo cukuik tinggi manuruik wak. Kami maambiak pondokan di area mode pasawahan, pas makanan tibo cukuik banyak langau. Sempat kesal subanta karano pamintaan lilin agak lambek direspons. Pelayanan nan mambaok makanan lamo baru mananggapi pasanan mungkin masih baru.","The food here is pretty good, but I think it might be a little expensive for me. We picked the lodge near the ricefields, and when the food arrived, there were a lot of flies around it. We were kinda frustrated because we asked for candles and the response took a while. The waiter who brought our food was also kinda slow to respond, maybe they were still new."
445,"Tampek makan ko sabananyo cukuik manarik dek bamacam kuliner indonesia tasadio di tampek ko. Tapi sayang, mungkin dek talampau manarik, jadi jumlah pangunjuang rasonyo malabiahi kapasitas ampek nan tasadio, jadi takasan sasak","This place is honestly pretty interesting because it has a variety of Indonesian cuisine. Ironically enough, its uniqueness is also its weakness, as they attract way more customers than the place can fit, so it feels suffocating."
446,"Indak ado matinyo manyusuri kafe di bandung. Tamasuak tampek ko, ancak tampek bana lah, kopi lattenyo pas lo jo lidah awak. Harago? Satimpallah.","It's always a pleasure to explore the cafes in Bandung. Including this place, the place is very good, the coffee latte also hits the spot. The price? It's worth it."
447,"Pangalaman nan cukuik lasuah, makan ndak pakai aleh piriang, tapi hanyo jo aleh daun, makin lamak. Makanan sunda nan sangaik baragam dan cukuik lamak. Tipsnyo: Jan tabaok emosi dan kalap mamasan dan mamiliah sadolah makanan nan disadioan biasonyo kalap kalau alah maliek makanan macam-macam gitu. Piliah saparalunyo.","A pretty fun experience, eating without plate but instead with only leaves, even more delicious somehow. A little advice: don't get too carried away and greedy by ordering all the available food. I know it's hard to resist when you see this many food in front of you. Eat responsibly"
448,"Pamandangan yang lua biaso dari kafe ko, manyajian santuahan cemara dan eksotisnyo alam hutan raya bandung. Salain tu makanan dan minuman yang tabilang murah bana. Mantap!","Spectacular view from this cafe, providing a touch of fir and the exotic nature of Hutan Raya Bandung. Other than that, the food and beverages are very affordable. Cool!"
449,"Wakatu partamo bukak lumayan. Tapi makin kasiko kualitehnyo manurun. Minyo kurang raso, kuahnyo iyolo.","When it first opened, the taste was fine. However, the quality has been gradually declining recently. The noodle is less tasty, and the broth is no different."
450,"Resto tampek makan kambiang baka nan awak rekomendasian waktu anda bakunjuang ka kota ko. Kambiang bakanyo lamak, gurih plus jauah dari nan namonyo baun kambiang dah tu ampuak lo. Sop buntutnyo pun indak kalah lamaknyo do. Tampeknyo pun asyik bana, cocok lo untuak nan nio maabihan waktu jo kaluarga atau kawan.","The roasted goat resto that I reccommend when visiting this city. The roasted goat is delicious, savory, and plus the goat doesn't smell and it's tender. The oxtail soup is also no less delicious. The place is also very fun, suitable for anyone who wants to spend time with family or friends"
451,"Penasaran jo ulasan urang, spesial macari waktu ka warung sale. Awalnyo samangaik. Manembus macet. Deh alah yo. Tapi kecewa jo jalannyo. Salain jauah, kondisi jalan nan buruak pun membuek sumangaik mulai luntur. Fisik bangunan unik, ado musik lift. Kapasitas ruangan tabateh bantuaknyo. Menu cukuik unik dan kreatif. Tapi alun cukuik baharago maubek kekecewaan perjalanan.","Reviews got me interested, so I took the time to go to Warung Sale. At first I was excited. Traffic jams? No big deal. But the road was a letdown. Aside from the long distance, the awful road conditions lowered my excitement a little. The building was unique, there was elevator music. Room capacity was kinda limited, though. The menu was pretty unique and creative. However, it wasn't good enough to make the trip worth it."
452,Minggu patang di kampuang awak sempat ado jaringan 4G,Last week there was some 4G network in my village for a while.
453,"Kalau ka siko manyiapan paruik kosong yo dek di siko konsepnyo bisa makan sapuehnyo. Pueh bana makan di siko, sasuai kok samo haragonyo. Wak sukonyo nasi goreng, lamak bana.","Better empty your stomach before you step inside because all-you-can-eat is the name of the game. Eating here is so satisfying, all worth the price. I especially love the fried rice, it's so good."
454,Untuak mananyoan kredit mandiri finance bisa di siko lo.,You can also ask questions about Mandiri Finance Credit here.
455,"Kini restorannyo batingkek 2. Sayangnyo waktu wak ka situ acnyo mati jadi angek. Dan yang mambuek wak heran, awak ndak pernah diagiah struk.",Now the restaurant is a two-storey. Shame that it was stiflingly hot when I went there because the AC was dead. The one thing that baffled me was I was never given any receipts
456,"Kami bakunjuang ka restoran ko pado malam hari. Wow, tampeknyo sangaik romantis. Lilin, jalan mandaki, konsep lesehan di tangah suaro aia tajun yang cukuik dakek mambuek suasana makan labiah nikmat.","We visited this restaurant at nighttime. Wow, the place is darn romantic. Candles, uphill path, and the concept of Lesehan surrounded by the sounds of a nearby waterfall make the atmosphere all the more enjoyable"
457,"Tampek ko manyadioan bamacam makanan, tapi nan wak cubo pasti lah batagornyo, tampeknyo pun barasiah.","This place served several food, but of course the one I tried was the batagor, place was clean too."
458,Lamak. Yang jaleh samba tysonnyo oke! Makan jo menu apo se cocok. Siap kapadehan jo timbangan naiak kalau makan di siko!,"Very good. The Tyson sambal is definitely amazing! You can eat with anything off the menu, it's suitable. Prepare to get your mouth burned and gain weight if you eat here!"
459,"Silakan kunjuangan toko kito yang patang cari handphone advan, xiaomi redmi 4a dan nokia 150","Please check out our store if you're looking for Advan, Xiaomi Redmi 4A, and Nokia 150 the other day."
460,Mahasiswa zaman kini banyak bana mangaluah tapi kurang bakarya,Uni students nowadays complain too much while not creating enough.
461,"Menunyo simpel, pastanyo banyak piliahan raso, tampeknyo nyaman, minuman pun banyak piliahan, ado makanan panutuik juo. Tambah jadwal live musik harusnyo bia makin ancak.","Menu's pretty simple, a lot of pasta flavours, comfy place, also lots of options for drinks, there's even desserts. They should try scheduling a live music, that'll be awesome for sure."
462,Tagihan internet den ndak masuak aka 250% labiah maha uni! Butuah panjalehan.,"My internet bill is insane, 250% more expensive, man! Need clarifications"
463,Kacewa bana. Pasan dan bayia tiket pasawat dikarajoan jam satangah 1 dini ari untuak panabangan jam 6 pagi. E - tiket indak dikirim. Tibo-tibo dihubuangi via email kalau tiket nan alah dibayia alah abih jam-jam pagi. Kalau tiketnyo abih baa kok masih bisa dibooking.,Very disappointed. I ordered and paid for an airplane ticket at half past 1 a.m. for a 6 a.m. flight. The e-ticket was not sent. And suddenly early in the morning I was contacted through an email saying that the ticket I had paid for was already out. If the ticket was already out why on Earth could I still book it?
464,"Sangaik miris bin ironis, sikap ndak bakualitas! Ndak layak jadi wakil rakyat 270 juta populasi panduduak dari sabang sampai marauke!","Truly a pity and ironic, to have such a foul attitude! Unworthy of being the people's representative for 270 million population from Sabang to Merauke!"
465,"Untuak makanan baragam hanyo sajo minyak terlalu banyak, gurame goreng indak lamak karano indak digoreng kariang. Juice yang ditawaan terlalu baraie dan kurang segar",The menu has a lot of variety but they used too much oil. The fried gourami wasn't good because it wasn't cooked crispy enough. The juice offered had too much water and was not that fresh.
466,"Samoga salalu satia mangawanan rakyat indonesia dari sabang - merauke, dari kota sampai palosok kampuang.","May they always be loyal in looking after the Indonesian people from Sabang - Merauke, from the city all the way to remote areas"
467,Toyota manduduaki paringkek partamo sabagai merek otok yang paliang banilai.,Toyota is ranked first as the most valuable automobile brand.
468,Maklum samo-samo maliang harus saliang malinduangi. Jadi yang dimasalahan adolah soal prosedur dan ndak substansi kalau anggota dewan tatangkok tangan tarimo sogokan.,"You know what they say, thieves always got each other's backs. What we should focus on is the procedure and not the fact that a member of the council got caught red-handed while accepting a bribe."
469,"Rasonyo lumayan. Ladonyo lamak. Apolai disajian 3 macam model gitu. Tu banyak piliahan sabananyo nio makan apo di siko. Nio gurame, nio kakap, nio bawal, pensi, cumi, udang. Macam-macamlah. Asal jan pasan ikan gambuang se. Ndak ado di siko.","The food tasted pretty okay. The sambal was also good, especially when you could choose from 3 different variations. To be honest, there were quite a lot of options here. you could have gouramis, snappers, pomfrets, clams, calamari, shrimps, they got it all. No mackarels, though, they didn't have that here."
470,Kini awak alah talampau mambanci online shop buatan asiang tu,Now I know I've hated that foreign online shop too much
471,"Dari zaman kuliah sampai kini masih suko se makan di kuis butcher. Lamak, tajangkau, tampeknyo lumayan lo.","From my college years to this day I still love to eat in Kuis Butcher. Tasty, affordable, and has a nice place"
472,"Maleh makan oreo, suko buek gigi itam","Not a fan of eating oreos, makes my teeth black"
473,"Menu favorit awak adalah sup dagiang dan minumannyo es cincau itam. Rasonyo lamak, sangaik rekomendasi.","My favorite menu is the beef soup and iced grass jelly drink for the drink. Tastes delish, highly recommended"
474,Pamandangan surabaya malam luabiaso makanannyo lamak lamak tapi haragonyo luarbiaso loh jo jarak ndak talampau jauah tapi pamandangannyo luabiaso dan suasananyo sero,"The night view of Surabaya is extraordinary, the food tastes good and all but the cost is also extraordinary. The distance is not that far but the landscape is outstanding and the ambience is pleasing."
475,"Hindari kepadatan, menhub imbau masyarakat indak baliak ka jakarta basamoan pado 1 januari","To minimize traffic jam, Menhub urges the public not to come back to Jakarta all at once on January 1st"
476,Restoran jo pemandangan nan menawan meskipun harus ditampuah jo kondisi yang cukuik curam. Namun tabayia jo tampek dan raso nan oke,"A restaurant with breathtaking views even though you need to go through a steep road to reach it. Still, the great place and flavor totally make up for it."
477,Steak nan sabananyo steak especially chiken cordon bulenyo yang buek taragak plus makan yang disalimuikan pamandangan bandung yang top markotop. Pas bana tibonyo malam yo jo pasangan ba a bana jo keluarga juo tatap sero. Jalan ka lokasi bakelok paralu usaho dan karajo kareh.,... Truly perfect for a fun night visit with your partner or even your family. ...
478,Iko salah satu tampek yang makanannyo lamak dan pamandangannyo sajuak dimato. Untuak kumpua jo keluarga atau kawan-kawan ikolah tampek yang cocok.,This is one of the locations where the food is good and the scenery is a refreshing sight for sore eyes. Appropriate spot to gather with the family or with friends.
479,Maleh. Senin pagi jo macet parah dan banjir,So annoying. Monday morning with heavy traffic and flood.
480,Indak ado nan terlalu istimewa dari restoran nan manyajian menu makanan khas sunda iko. Raso beberapa makanan nan awak pasan samo se jo raso rumah makan sunda lainnyo. Indak mampu manumbuahan raso nikmat nan kuek dan mambuek awak takasan sacaro mandalam. Hanyo ayam goreng lado penyet pasanan awak nan rasonyo saketek agak nikmat.,"This restaurant that serves traditional Sundanese dish has nothing to write home about. The few dishes I ordered tasted just about the same as the other Sundanese restos. Didn't really offer a satisfying flavour nor leave any strong impreesion on me. The only saving grace for me was the smashed fried chicken with sambal, which was the closest to being great."
481,"Iklan youtube baa indak bisa diskip sih, manggaduah bana","Why can't I just skip the YouTube ads, so annoying"
482,Pelayanan pt kami sangaik mamuehkan,Our corporation's services are very satisfactory
483,"Partamo kalinyo tibo ka eatalia, wak tibo jo kawan dan 1 urang anak. Indak paniang untuk mamilih makanan untuak anak karano di siko manyadioan menu untuak porsi anak. Kami mamasan pizza jo roti bawarna hitam. Untuak kasaluruahan menu nan wak pasan indak ado nan mangacewaan.","First time to Eatalia, I was with a friend and one child. We didn't have to worry about what to order for the child because the place also had menus with children portions. We had a pizza with black bread. Overall, none of the menus I ordered were disappointing. "
484,Manangan hadiah gagah jo ikuik foto kontes men di alfamart,"Win cool prizes by entering the ""Baik untuk Men"" photo contest in Alfamart"
485,Kalau ka Bukiktinggi jan lupo singgah di Pasa Ateh. Banyak piliahan makanan lamak. Jan lupo baok kamera untuak foto foto,"If you're going to Bukittingi, don't forget to pay Pasar Atas a visit. There's a smorgasbord of scrumptious food there. Don't forget to bring along a camera to take pics, either."
486,"Ikolah mitos yang mambuek tahun baru manjadi seremonial dan artifisial, tanpa kadalaman makna","Here is the myth that turns the new year into something ceremonial and artificial, without any depth in meaning."
487,India sadang mambuek superbike listrik bakecepatan tinggi,India is making a high-speed electric superbike.
488,Alah lamo wak nio pai jalan-jalan ka lua nagari,I've been dreaming of travelling abroad for a long time
489,"Tenderloin steak di suis butcher lamak bana - juicy, dan saus kuisnyo pas di lidah. Salain itu haragonyo pas lo di kantong. Oleh sabab itu, basiaplah untuak mangantri bilo sanak nio singgah di akhir minggu jo pas jam makan.","Suis Butcher's tenderloin steak is amazing - so juicy, and the sauce really hits the spot. Better yet, it's not that expensive. Because of that, you'll have to prepare to be standing in a long line if you're here on weekends, especially at lunchtime"
490,Kawan wak banyak lo nan karajo di bukalapak,Lots of my friends also work in Bukalapak
491,"Minimal maaf, wak nio bali tiket kami senen - yogyakarta pakai promo nan bulan mei.","How much is the minimal if I may ask, I wanna buy Tiket Kami for Senen - Yogyakarta using the May promo"
492,Disaranan jan pai ka sinan katiko jam makan karano akan agak payah untuak mancari tampek duduak.,Not recommended to go there during dining hours cuz finding a seat might be difficult then.
493,Parah pasan bukalapak pakai gosend patang sampai kini alun tibo ba a lah ko. Barangnyo paralu bana,Awful how an order from Bukalapak using Gosend was made yesterday and haven't arrived 'til now. What should I do? I really need the item urgently.
494,Kamarnyo baun rokok. Seprai ndak diganti untuak tamu baru samo masih ado bekas abu rokoknyo.,The room reeks of cigarette smoke. The bedsheet isn't changed for new guests and there's still some cigarette ash left
495,Si A kato-katonyo tong kosong nyariang bunyinyo ngecek ndak babobot.,"A talks like empty vessels that make the most noises, says nothing of value."
496,"Sambanyo indak ado di tampek lain. Raso tarasinyo khas sangaik, asin manihnyo pas. Ruangannyo emang kelas kadai tapi jan takajuik wakatu bayia haragonyo kelas resto tapi sabandiang jo kualitas makanannyo","You won't find this sambal anywhere else. The shrimp paste's flavour is very distinct, the sweetness and saltiness are just right. The venue may look pedestrian but don't be shocked when you see the resto-class price, and it's all worth it for the food quality."
497,"Manuruik wak steaknyo cukuik lamak, labiah ancak pasan yang paliang gadang se, itu labiah labuak dari yang lain. Kalau ka siko, bisa bagian foto di media sosial dan mandapekan es krim gratis. Es krimnyo lamak mah: Kalau dari segi makanan oke, dari palayanan ancak loh.","I think the steak was quite good, my advice is just get the biggest one, it's more tender than the others. If you come here, you can share your photo on your social media and get a free ice cream, and it's good too. For the food, it's great, and the servers are friendly."
498,Dijago yo makanannyo gus emang sadang musimnyo kini tu. Iyo sih januah tu malah mambuek sakik,"Watch what you eat, Gus, it's that kind of season, after all. And yeah, burnouts can make you sick"
499,"Lamo-lamo di siko den bisa hipertensi maadokan pasien bpjs, baia ndak sabara tapi nio palayanan eksekutif dan mete-mete, naiak kareta se kalau nio yang eksekutif","I'm about to pop a blood vessel dealing with these BPJS patients, demanding executive treatments and nagging all day even though they don't pay for crap. You want executive? Try a goddamn train."
72,Calon-calon pamimpin nagari ko cukuik kuek mampasiapkan strategi untuak kamanangannyo.,Our country's leader candidates are carefully preparing their strategies for victory
254,"Mancubo mamasan shabu-shabu, menu baru di gading resto. Kualitas raso cukuik lamak, harago tajangkau pulo. Rekomendasi bilo mambaok tamu atau sakadar makan malam samo kaluarga.","Tried ordering shabu-shabu, the new menu in Gading Resto. The taste was pretty good, affordable too. Recommended if you wanna invite guests or just have a family dinner"
185,"Makanan di siko manuruik awak kurang lamak yo, karano awak urang minang, awak ndak talalu suko makanan jawa nan manih hehe","I don't think the food here is that good. Maybe because I'm Minangese, but I'm not really a fan of the sweet Javanese food hehe"
314,"Spotify ribet, pakai ado administrasi bulanan lo gai","Spotify is complicated, with all this monthly administration and whatnot."
277,Tolong carian alamaik urang ko. Akan awak ajak duel sacaro jantan pakai samurai. Inyo alah mahino amak wak nan paliang awak cinto dan hormati.,Please find this person's address. I'll challenge them to a duel with samurai swords like a real man. They've insulted my mom whom I love and respect the most.
121,"Baka taruih pak, cabiak-cabiak se persatuan dan kasatuan Indonesia jo retorika apak.","Keep goading, Mister, just rip apart the unity and oneness of Indonesia with your rhetorics."
329,"Stasiun tv buruak, indak konsisten, mengecewaan pendukung persib - persiba, indak baperikemanusiaan! Palak, dan cupu!","Trash TV station, inconsistent, disappointing to Persib - Persiba supporters, inhumane! Lousy and incompetent!"
196,"Lokasi jo arsitektur tampek ko rancak bana, tapi kalau makanan jo minumannyo di siko ndak bedo na lamaknyo doh. Lamak untuak bunuah jo kawan-kawan.","Location and architecture are top tier, but the food is nothing too special. Decent place to kill time with friends"
136,"Restoran ko punyo lokasi yang prima di pabukikan yang punyo udaro sajuak dan pamandangan ijau manyegarkan. Tantu sajo tujuan utamonyo adolah masakan khas nusantara yang lamak. Singkeknyo, bakunjuang ka siko wak dapek mangarajoan sakaligus wisata lidah, mato, jo jiwa.","This restaurant has the perfect location in the hillsides, with cool breeze and refreshing green views. Of course, the main draw is the delicious Nusantara traditional cuisine. In short, here we can get a recreation for our taste buds, eyes, and soul all at the same time."
29,"Makanan di siko lamak-lamak dengan banyak variasi. Sadolahnyo lamak jo pamandangan rancak. Pelayanan nan maksimal dari uni diah dan gina dari awal datang sampai salasai, dilayani dengan sangaik elok.",The food here is delicious with many varieties. Everything is delicious with good scenery. Maximum service from Miss Diah and Miss Gina from start to finish. Very well served
342,"Sangaik mangacewaan, awak pasan tiket dan alah awak bayia, padahal wakatu itu alun kadaluarsa pas awak transfer, tapi sampai kini alun diagiah kode bookingnyo, malah diagiah notifikasi alah kadaluarsa, dah tu pitihnyo larinyo ka ma, pas awak hubungi lewat email hanyo ditanggapi sakali se.","Very disappointing, I ordered and paid for a ticket, it hadn't expired yet when I transferred the payment, but to this day they still haven't given me the booking code, and then they have the gall to tell me that my ticket has already expired. Then where the heck did my money go? I've contacted them via email but they've only responded to it once."
45,"101 dalmatians: The series adalah sabuah seri animasi tipi nan diproduksi dek disney television anomation, bakarajo samo jo jumbo pictures.","101 Dalmations: the series is an animated television series produced by Disney Television Animation, in collaboration with Jumbo Pictures."
293,"Sabuah musibah baru se manimpo kampuang adaik di bajawa, flores. Kabakaran gadang nan tajadi pado senin 13 / 8 sore ampia maanguihan sadolah kampuang. Total 27 dari 33 rumah adaik nan ado abih dimakan api basamo sadolah carito dan sajarahnyo.","A disaster just struck a traditional village in Bajawa, Flores. A great fire on Monday (13/8) afternoon devastated almost the entirety of the village. A total of 27 out of 33 traditional houses went up in flames, along with all their stories and history."
140,"Untuak sobok batagor nan otentik, sanak indak paralu jauah-jauah mancari ka pelosok, cukuik arahan kandaraan ka jalan dari djunjunan, awak dapek manikmati batagor asli nan lamak jo tampek nan nyaman. Raso batagor nan ditawaran sangaik manggugah salero soalnyo batagor disajian kariang-kariang jo disiram kuah kacang nan segar","To find an authentic Batagor, you need not look to remote areas far away, just drive straight to the street on Djunjunan, and we may enjoy the tasty original Batagor with a comfortable place. Their batagor's flavour is really mouthwatering since it's served with the crisps and smothered in fresh peanut sauce."
144,"Rumah makan nan mausuang konsep tradisional alias jadul iko patuik sanak cubo. Salain rasonyo nan pas, kadai ko punyo babarapo hal unik kayak piriang nan digunoan adalah piriang seng zaman dahulu baitupun galeh minumnyo. Jenis menunyo sangaik baragam. Dan sadoalahnyo lamak-lamak!","You should try this diner with traditional aka old school concept a try. Aside from its great taste, this place also has plenty of unique traits such as the usage of enamel plates and drinking glasses from the old times. The menu has a lot of variety, and every single one is delicious!"
272,"Nasi rawonnyo sabana lamak, harago tajangkau. Dakek universitas parahyangan. Tampeknyo unik jo kayu-kayu.","The rawon rice is really delicious, affordable too. Near Parahyangan University. Unique venue with the woords and stuff."
76,"Menu di tampek ko sabatuanyo sadarhana bana tapi pamiliaknyo kreatif. Sajian mie, rotidan makanan panutuiknyo di mix samo bamacam piliahan. Tampek sero untuak bakumpua jo kawan-kawan. Untuak haragonyo ndak talalu maha sasuai samo rasonyo.","This menu here is honestly really simple but the owner is creative. The noodles, bread, and desserts can be mixed and matched from a variety of options. The venue is also fun to hang out with friends. The price isn't that expensive, it just fits the taste."
336,"Wak paliang ndak suko tu, kalau lah dakek pemilu, suasananyo taruih maangek.","One thing I really hate,  is whenever the election is coming up, things always start heating up."
6,"Sore konco, kini ko sadang dilakuan pamaliharoan sahinggo aplikasi ndak dapek diakses.","Good afternoon friends, we are currently conducting a maintenance, so the app is currently inaccessable."
252,Awak alah registrasi tapi indak dapek sms dari 5111.,I have registered but haven't received any messages from 5111
16,"Baru dan tasadio, 5 sakek makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Available now, 5 brand new lunch boxes from Kotak Makan Yooyee, anti-leak lunch box 590 "
157,"Untuak pengecekan layanan mandiri werified by visa vbv indak dapek malalui layanan mandiri call 14000, namun hanyo bisa malalui email dan kantua cabang bank mandiri.","Checking the Mandiri Verified by Visa Vbv service cannot be done through Mandiri Call 14000 service, but it can be done through email and Bank Mandiri's branch offices"
359,"Harago indak talampau maha, rasonyo lamak pulo, banyak piliahan makanan khas Banjar lainnyo.","It's not too pricy, the flavour's also delicious, lots of other classic Banjarese dishes."
246,Hanyo panerbangan di indonesia yang indak pernah maharagoi waktu. Lah baia maha tatap palayanannyo mangecewaan,Only flights in Indonesia never appreciate time. Have paid a large amount but the services are not up to snuff.
262,"Menu masakan yang dihidangan lumayan bavariasi jo raso yang lumayan lamak, banyak palayan jo waktu palayanannyo pun cukuik ancak sahinggo kami pueh makan siang di situ, hanyo tata latak restoran yang lantainyo bavariasi naiak - turun sahinggo harus sabana elok-elok untuak urang tuo dan anak ketek, semoga bisa samakin ditingkekan palayanan dan variasi menunyo. Sukses taruih untuak boemi mitoha.","""..the taste was rather delicious. ..."""
389,"Ma laporan wak ndak diproses-proses. Ragu pitih wak ka dibaliakan, padahal pulsa jo kuota wak hilang.","Not to mention they haven't processed my complaint yet. I don't think I'll get my money back, even though my credits and quota are gone."
338,"Raso bumbu nasi gorengnyo ndak salamak dulu lai, takasan amba dan labiah asin. Paralu ado pangontrol kualitas raso bia kualitas tatap tajago.","The flavour of the spices in the fried rice is not as tasty as before anymore, it feels tasteless and saltier. There has to be quality control on the flavour department so that the quality is preserved."
388,Sambia manunggu wakatu ganti tahun awak cubo ka siko. Awak baduo pasan beberapa sushi. Minumannyo milktea samo eskrim vanilla jo batok karambia. Untuak sushinyo lumayan tapi kabanyakan nasinyo bantuaknyo. Tapi rasonyo lamak. Harago tajangkau.,"While waiting for the year to change, we tried coming here. Both of us ordered a few sushis. The drinks were milktea and vanilla ice cream with coconut. The sushi was good but I think it had too much rice. Still tasty, though. The cost was affordable."
182,"Kalau dicaliak-caliak, sandiaga uno samo nadiem makarim mirip yo","When you really look at them, Sandiaga Uno and Nadiem Makarim kinda look alike."
80,"Awak mangunjuangi restoran iko untuak makam malam basamo kawan. Awak mamasan steak ayam nan subananyo awak lupo namonyo. Rasonyo sangaik biaso se, amba. Ayamnyo taba dan taraso kareh dan kariang bana. Indak ado nan istimewa.","I came to this restaurant to have a dinner with my friend. I ordered a chicken steak, which I honestly forgot the name of. The taste was really just meh, bland. The chicken felt too thick, tough, and very dry. Nothing special about this place."
398,"Demi apo pun tes cpsn buek macet, sialannnnnnn","For crying out loud, CPNS test caused traffic, damnnnnnnn."
248,Sadiah bana mancaliak lauik nan kini kumuah dijadian tampek buang sarok sumbarangan,So sad seeing the sea being turned into a filthy garbage dump
286,Awak tu alah panek nio berang-berang. Bia awak surang se lah nan ambiak liak paketnyo dan awak kirim via ekspedisi lain se. Kecewa barek antah ka bara kalinyo.,I'm tired of getting angry. Might as well take my package back and ship it again using another expedition. I've been severely let down for God knows how many times
128,Panjua lambek mananggapi. Ado kendala lamo diuruih. Sampai kini barang alun diganti,Seller's response is slow. Takes forever to resolve problems. The item hasn't been refunded to this day.
281,Tampek makan dengan nuansa doraemon. Harago makanannyo murah dan banyak piliahan. Tampeknyo indak terlalu lueh tapi nyaman. Di lantai 2 di buek sarupo kamar nobita lkp jo meja baraja masin waktu dan pintu kama se. Banyak boneka doraemon jo komik-komik nan bisa dibaco katiko manunggu makanan. Salain itu sambia menikmatik hidangan wak bisa manonton fil doraemon. Anak wak sanang makan. Lanjutan,"A Doraemon-themed restaurant. The menu is affordable and decently varied. The place isn't too big, but cozy enough. The second floor is designed just like Nobita's bedroom, complete with the iconic time machine in his desk drawer and the Anywhere Door. There's a lot of Doraemon plushies and comics that are free to read while waiting for the food. Not only that, you can watch the Doraemon films while enjoying your food. My child loves the food. Cont."
318,"Kok bisa dibiaan bangunan di ateh sungai,  di jalan dari rumah sakik manuju pasa Ciroyom, aneh.","How could this building be allowed above the river, on the street from the hospital towards Ciroyom market? Weird"
