id,eng,min
25966,"May they always be loyal in looking after the Indonesian people from Sabang - Merauke, from the city all the way to remote areas","Samoga salalu satia mangawanan rakyat indonesia dari sabang - merauke, dari kota sampai palosok kampuang."
25967,Toyota is ranked first as the most valuable automobile brand.,Toyota manduduaki paringkek partamo sabagai merek otok yang paliang banilai.
25968,"You know what they say, thieves always got each other's backs. What we should focus on is the procedure and not the fact that a member of the council got caught red-handed while accepting a bribe.",Maklum samo-samo maliang harus saliang malinduangi. Jadi yang dimasalahan adolah soal prosedur dan ndak substansi kalau anggota dewan tatangkok tangan tarimo sogokan.
25969,"The food tasted pretty okay. The sambal was also good, especially when you could choose from 3 different variations. To be honest, there were quite a lot of options here. you could have gouramis, snappers, pomfrets, clams, calamari, shrimps, they got it all. No mackarels, though, they didn't have that here.","Rasonyo lumayan. Ladonyo lamak. Apolai disajian 3 macam model gitu. Tu banyak piliahan sabananyo nio makan apo di siko. Nio gurame, nio kakap, nio bawal, pensi, cumi, udang. Macam-macamlah. Asal jan pasan ikan gambuang se. Ndak ado di siko."
25970,Now I know I've hated that foreign online shop too much,Kini awak alah talampau mambanci online shop buatan asiang tu
25971,"From my college years to this day I still love to eat in Kuis Butcher. Tasty, affordable, and has a nice place","Dari zaman kuliah sampai kini masih suko se makan di kuis butcher. Lamak, tajangkau, tampeknyo lumayan lo."
25972,"Not a fan of eating oreos, makes my teeth black","Maleh makan oreo, suko buek gigi itam"
25973,"My favorite menu is the beef soup and iced grass jelly drink for the drink. Tastes delish, highly recommended","Menu favorit awak adalah sup dagiang dan minumannyo es cincau itam. Rasonyo lamak, sangaik rekomendasi."
25974,"The night view of Surabaya is extraordinary, the food tastes good and all but the cost is also extraordinary. The distance is not that far but the landscape is outstanding and the ambience is pleasing.",Pamandangan surabaya malam luabiaso makanannyo lamak lamak tapi haragonyo luarbiaso loh jo jarak ndak talampau jauah tapi pamandangannyo luabiaso dan suasananyo sero
25975,"To minimize traffic jam, Menhub urges the public not to come back to Jakarta all at once on January 1st","Hindari kepadatan, menhub imbau masyarakat indak baliak ka jakarta basamoan pado 1 januari"
25976,"A restaurant with breathtaking views even though you need to go through a steep road to reach it. Still, the great place and flavor totally make up for it.",Restoran jo pemandangan nan menawan meskipun harus ditampuah jo kondisi yang cukuik curam. Namun tabayia jo tampek dan raso nan oke
25977,... Truly perfect for a fun night visit with your partner or even your family. ...,Steak nan sabananyo steak especially chiken cordon bulenyo yang buek taragak plus makan yang disalimuikan pamandangan bandung yang top markotop. Pas bana tibonyo malam yo jo pasangan ba a bana jo keluarga juo tatap sero. Jalan ka lokasi bakelok paralu usaho dan karajo kareh.
25978,This is one of the locations where the food is good and the scenery is a refreshing sight for sore eyes. Appropriate spot to gather with the family or with friends.,Iko salah satu tampek yang makanannyo lamak dan pamandangannyo sajuak dimato. Untuak kumpua jo keluarga atau kawan-kawan ikolah tampek yang cocok.
25979,So annoying. Monday morning with heavy traffic and flood.,Maleh. Senin pagi jo macet parah dan banjir
25980,"This restaurant that serves traditional Sundanese dish has nothing to write home about. The few dishes I ordered tasted just about the same as the other Sundanese restos. Didn't really offer a satisfying flavour nor leave any strong impreesion on me. The only saving grace for me was the smashed fried chicken with sambal, which was the closest to being great.",Indak ado nan terlalu istimewa dari restoran nan manyajian menu makanan khas sunda iko. Raso beberapa makanan nan awak pasan samo se jo raso rumah makan sunda lainnyo. Indak mampu manumbuahan raso nikmat nan kuek dan mambuek awak takasan sacaro mandalam. Hanyo ayam goreng lado penyet pasanan awak nan rasonyo saketek agak nikmat.
25981,"Why can't I just skip the YouTube ads, so annoying","Iklan youtube baa indak bisa diskip sih, manggaduah bana"
25982,Our corporation's services are very satisfactory,Pelayanan pt kami sangaik mamuehkan
25983,"First time to Eatalia, I was with a friend and one child. We didn't have to worry about what to order for the child because the place also had menus with children portions. We had a pizza with black bread. Overall, none of the menus I ordered were disappointing. ","Partamo kalinyo tibo ka eatalia, wak tibo jo kawan dan 1 urang anak. Indak paniang untuk mamilih makanan untuak anak karano di siko manyadioan menu untuak porsi anak. Kami mamasan pizza jo roti bawarna hitam. Untuak kasaluruahan menu nan wak pasan indak ado nan mangacewaan."
25984,"Win cool prizes by entering the ""Baik untuk Men"" photo contest in Alfamart",Manangan hadiah gagah jo ikuik foto kontes men di alfamart
25985,"If you're going to Bukittingi, don't forget to pay Pasar Atas a visit. There's a smorgasbord of scrumptious food there. Don't forget to bring along a camera to take pics, either.",Kalau ka Bukiktinggi jan lupo singgah di Pasa Ateh. Banyak piliahan makanan lamak. Jan lupo baok kamera untuak foto foto
25986,"Here is the myth that turns the new year into something ceremonial and artificial, without any depth in meaning.","Ikolah mitos yang mambuek tahun baru manjadi seremonial dan artifisial, tanpa kadalaman makna"
25987,India is making a high-speed electric superbike.,India sadang mambuek superbike listrik bakecepatan tinggi
25988,I've been dreaming of travelling abroad for a long time,Alah lamo wak nio pai jalan-jalan ka lua nagari
25989,"Suis Butcher's tenderloin steak is amazing - so juicy, and the sauce really hits the spot. Better yet, it's not that expensive. Because of that, you'll have to prepare to be standing in a long line if you're here on weekends, especially at lunchtime","Tenderloin steak di suis butcher lamak bana - juicy, dan saus kuisnyo pas di lidah. Salain itu haragonyo pas lo di kantong. Oleh sabab itu, basiaplah untuak mangantri bilo sanak nio singgah di akhir minggu jo pas jam makan."
25990,Lots of my friends also work in Bukalapak,Kawan wak banyak lo nan karajo di bukalapak
25991,"How much is the minimal if I may ask, I wanna buy Tiket Kami for Senen - Yogyakarta using the May promo","Minimal maaf, wak nio bali tiket kami senen - yogyakarta pakai promo nan bulan mei."
25992,Not recommended to go there during dining hours cuz finding a seat might be difficult then.,Disaranan jan pai ka sinan katiko jam makan karano akan agak payah untuak mancari tampek duduak.
25993,Awful how an order from Bukalapak using Gosend was made yesterday and haven't arrived 'til now. What should I do? I really need the item urgently.,Parah pasan bukalapak pakai gosend patang sampai kini alun tibo ba a lah ko. Barangnyo paralu bana
25994,The room reeks of cigarette smoke. The bedsheet isn't changed for new guests and there's still some cigarette ash left,Kamarnyo baun rokok. Seprai ndak diganti untuak tamu baru samo masih ado bekas abu rokoknyo.
25995,"A talks like empty vessels that make the most noises, says nothing of value.",Si A kato-katonyo tong kosong nyariang bunyinyo ngecek ndak babobot.
25996,"You won't find this sambal anywhere else. The shrimp paste's flavour is very distinct, the sweetness and saltiness are just right. The venue may look pedestrian but don't be shocked when you see the resto-class price, and it's all worth it for the food quality.","Sambanyo indak ado di tampek lain. Raso tarasinyo khas sangaik, asin manihnyo pas. Ruangannyo emang kelas kadai tapi jan takajuik wakatu bayia haragonyo kelas resto tapi sabandiang jo kualitas makanannyo"
25997,"I think the steak was quite good, my advice is just get the biggest one, it's more tender than the others. If you come here, you can share your photo on your social media and get a free ice cream, and it's good too. For the food, it's great, and the servers are friendly.","Manuruik wak steaknyo cukuik lamak, labiah ancak pasan yang paliang gadang se, itu labiah labuak dari yang lain. Kalau ka siko, bisa bagian foto di media sosial dan mandapekan es krim gratis. Es krimnyo lamak mah: Kalau dari segi makanan oke, dari palayanan ancak loh."
25998,"Watch what you eat, Gus, it's that kind of season, after all. And yeah, burnouts can make you sick",Dijago yo makanannyo gus emang sadang musimnyo kini tu. Iyo sih januah tu malah mambuek sakik
25999,"I'm about to pop a blood vessel dealing with these BPJS patients, demanding executive treatments and nagging all day even though they don't pay for crap. You want executive? Try a goddamn train.","Lamo-lamo di siko den bisa hipertensi maadokan pasien bpjs, baia ndak sabara tapi nio palayanan eksekutif dan mete-mete, naiak kareta se kalau nio yang eksekutif"
46000,Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!,Nikmati cicilan 0% sampai 12 bulan untuak pamasanan tiket pisawat air asia jo kartu kredit bni!
46001,The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive,"Kue-kue nan disajian mambuek awak takana masa lalu. Sadolahnyo mode kue jaman dulu, antah itu dari penampilan maupun raso. Kuenyo lamak dan haragonyo murah lo."
46002,Mom once worked for grab indonesia.,Ibu pernah bakarajo di grab indonesia
46003,"I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach.","Paliang suko bana makan siang di siko ayam jo ladonyo lamak bana harago lua biaso himat, raso ayamnyo maresap sampai katulangnyo, es lidah buayonyo juo segar buek sajuak paruik siap makan lado yang padeh, palayannyo sigap dan ramah, yang wak suko di tampek kasir ado tulisan 10% disumbangan untuak baamal, buek makan jadi labiah lamak ka paruik"
46004,The DAMRI Bus service is really good,Palayanan bus DAMRI sangaik elok
46005,Wanna make some posts with contents that educate Gojek customers.,Nio buek postingan yang isionyo maedukasi customers gojek.
46006,Hundreds of houses in Medan were submerged by the flood,Ratuihan rumah di medan tarandam banjir
46007,"The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? ","Barangnyo lumayan, cuma yang den heran xiomi redmi note 2 ko tombol onnyo memang agak rusak? Tu baterai memang capek low bat juragan?"
46008,Really hard to trust people who had betrayed us before,Payah bana mampacayoi urang nan alah pernah bakianat
46009,"Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy.","Lokasi di gombel jo pamandangan semarang, tibolah malam dek lampu kota akan tacaliak, makanan lamak steak jo teh hangek menu wajib di siko, ambiak spot di lua dek udaro dingin dan sajuak"
46010,"One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out.","Wakatu tu ka siko pasan nasi goreng jo kantang koreng, nasi gorengnyo sadolah suko. Kantang gorengnyo lamak bana, dan presentasinyo rancak. Kecek keluarga kopinyo lamak. Hal nan sangat rancak disiko adalah tampeknyo lueh dan yang di lua bisa caliak pemandangan dusun bambu, tapi pelayanannyo indak capek sehinggo wak harus batanyo beberapa kali tentang pasanan wak. Haragonyo cukuik maha, tapi karano makanannyo lamak sadolahnyo jadi tabayialah. Indak paralu pikia duo kali kok nio ka tampek ko liak."
46011,"The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood.","Nasi goreng thailand di hargo 35 ribu, polos, hanyo ado suir ayam saketek. Seafoodnyo indak ado."
46012,"As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies.","Saroman yang wak tau, brownies nan asli dari amerika tu kue bantat yang memang bawarna cokelat. Toko amanda mengkreasian brownies jo mamasaknyo sacaro mangukuih. Brownies kukuih ko samo sakali ndak masuak. Teksturnyo malah samo jo bolu biaso. Jadi manuruik wak, iko ndak brownies."
46013,"If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery.","Jikok tibo ka restoran ko sangaik cocok pas sore dan malam ari, mambaok pasangan untuak manikmati makan malam nan romantis dan pamandangan nan sangaik manakjubkan"
46014,"The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands ","Pangalaman patamo cukuik mangesanan dek cukuik takajuik ruponyo siap salasai mamasan makanan, salah ciek staf maagiah daun pisang ka meja awak bukan piriang atau sendok, jadi jiko makan di siko basiaplah untuak makan pakai tangan dek awak ka marasoan sensasi nan unik ditambah aleh makanannyo daun pisang."
46015,"One of the most delicious culinary areas around. However, that just makes it hard to choose what to eat. In the end, I got myself a kerak telor and mie kocok while waiting for the music show with nostalgic western songs. Pretty recommended",Salah satu area kuliner yang cukuik manggugah salero. Namun jadi binguang juo miliahnyo. Akhianyo wak cubo karak talua dan mie kocok sambia mandangaan patunjukkan musik jo lagu-lagu nostalgia barat. Cukuik direkomendasian.
46016,"To clarify, you may come to the corresponding branch office of Mandiri Bank during working hours in workdays to make a cash exchange.",Untuak mamastian ibu bisa tibo ka kantua cab bank mandiri tu pas hari dan jam karajo untuak panukaran pitih.
46017,"Rode on the Jayabaya train from Malang to Jakarta, stopped in Gubeng, the ticket costed 35 thousand plus 6k insurance via Traveloka.","Naiak kareta jayabaya malang - jakarta baranti di gubeng, tiker 35 ribu plus asuransi 6 ribu via traveloka"
46018,DPR shows appreciation towards women's participation in the 2018 Regional Elections,Dpr maagiah apresiasi dek ikuiksarato padusi pado pilkada 2018.
46019,"I came to have dinner with my fam. It was our first time coming here. It wasn't too crowded. For the interior. it was rather filthy in my opinion. There were leftover morsles on the floor and table, seemed like it wasn't cleaned properly. For the food flavour, it was standard. Nothing to write home about.","Awak tibo untuak makan malam jo kaluarga. Iko patamo kali awak tibo ka siko. Kondisi indak talampau rami. Untuak interior, agak kumuah manuruik wak. Adonyo rimah-rimah bakeh makanan di lantai dan meja, bantuaknyo indak dibarasiahan sacaro sampurna. Untuak raso makanan, standar, indak terlalu istimewa."
46020,"Please remind the council not to forget revising the Perppu for Mass Organisations and if they don't revise it, then several factions from the public will not take this lying down.","Tolong kecekan ka anggota dewan jan lupo revisi perppu ormans dan ingekan janjinyo kalau perppu indak direvisi, babagai elemen masyarakat akan mangaluaan sikap."
46021,Cassava chips are the most delicious and appropriate snack to accompany me during assignment time.,Karipiak singkong itu makanan ringan paliang lamak dan pas untuak mangawanan waktu tugas
46022,"Batagor and Siomay Kingsley doesn't have any branches outside this one. The food's great, especially the batagor and siomay as well as the baso, also none of them contain any preservatives. And if you're looking for a gift, there's a package you can take home. Keep the good quality going.  ","Batagor jo siomay kingsley ko ndak punyo cabang di tampek lain. Makanannyo lamak, tarutamo batagor dan siomay sarato basonyo dan ndak pakai pengawet. Dan seandainyo untuak oleh-oleh ado paket yang bisa dibaok pulang. Dipertahanan lo kualitasnyo."
46023,"Never order from this service, my friends. Utterly disappointing! The villa was dirty, and all the appliances were unusable","Jan pernah pasan malalui layanan ko yo kawan-kawan. Mangacewaan! Villa-nyo kumuah, sadoalah paralatannyo ndak layak pakai"
46024,"Registrations starts tomorrow, Ministry of Communication and Informatics offers Digital Training Scholarships for 1000 people. ","Pendaftaran mulai bisuak, kementerian kominfo buka beasiswa palatiahan digital untuak 1.000 urang"
46025,"As a netizen who went on a picnic to Toba just last April, I just wanna say that there are indeed a lot of disappointments coming from the tourism system there. Parapat was dirty, it was hard to find actually good accomodations, the transport agents were unprofessional, just don't bother, Parapat is not recommended at all.","Sabagai netijen nan baru april patang piknik ka toba, cuma nio ngecek bahwa bana banyak hal nan mangecewaan dari sistem pariwisata di sinan. Parapat -nyo kumuah, payah cari akomodasi nan bana-bana ancak, agen transportasi ndak profesional, pokoknyo ndak direkomendasian pai ka parapat."
46026,The place was so dirty and I was ignored by the servers. The service was so disappointing,Kumuah bana dan indak di hirauan dek pelayan restoran. Mangcewaan bana palayanannyo!
46027,"The place is mediocre for me. Not that clean, the food is also nothing special.","Tampeknyo manuruik awak biaso se, kurang barasiah. Makanannyo pun biaso se."
46028,"For the effort it took to get to this place, the payoff was so-so. The disappointing part was the food quality. It was the barest minimum effort for making a meal. For the high standard of Bandung culinary, this was a letdown. Not to mention there was an entry ticket, 10.000 per person and 15.000 for cars","Untuak usaho nan dikaluaan ka tampek ko hasilnyo biaso-biaso se. Nan mangacewaan adalah kualiteh makanannyo. Makanan hanyo sakadar masak se. Untuak kuliner bandung nan lamak-lamak, iko mangacewaan. Ado karcis masuak per urang 10.000 dan oto 15.000."
46029,"My family and I were looking for a place to eat after watching a movie. We were bored with eating in restaurant / cafe in the mall. Suddenly we saw a restaurant on the right side of the street. We hadn't eaten curry in a long time. We stopped by a considerably small resto, with only 9 tables. Turns put the place was comfortable and the food was delicious.",Awak sakaluarga sadang mancari tampek makan sudah nonton. Kami bosan makan di resto / kafe di mal. Tibo-tibo nampak resto di kanan jalan. Alah lamo kami indak makan kari. Singgahlah kami ka resto nan tagolong ketek hanyo 9 meja. Kironyo lamak tampek dan makanannyo.
46030,How can the Starbucks coffee taste this good,Kopi starbucks baa bisa lamak bana sih
46031,"I heard they'll build a Transmart there, next to that building","Keceknyo di sinan ka dibangun transmart, di sabalah bangunan itu."
46032,"Truly a unique experience, eating in the middle of the ricefields among the yellowing rice. With a variety of menu choices, the presentation is interesting and appetising.","Sungguah pangalaman unik, makan di tangah sawah di antaro padi nan ampiang manguniang, Dengan piliahan menu nan baragam, panyajian nan menarik dan manggugah salero."
46033,"Dined togetha with da sistahs a lil' bit ago, cosy place, nice to hang out, good service. Have gone ta this place multiple times.","Makan basamo jo para sistah babarapa waktu nan lalu, tampek nyaman, lamak untuak maota, pelayanan rancak. Lah acok makan di siko."
46034,"The souvenir shop has pretty much everything and is pretty comfortable, the goods are easy to reach, affordable, and it has great service.","Tampek oleh-olehnyo langkok dan cukuik nyaman, mudah dijangkau, haragonyo tajangkau, dah tu pelayanannyo ramah."
46035,"Hi Eviana, we are sorry for the inconvenience. You can contact Indosat by clicking the following link. We implore you to check it out. Thank you. Erf.","Hai eviana, mohon maaf atas kaindaknyamanannyo. Untuak kontak dari indosat dapek maakses tautan iko: Silakan pengecekan yo. Tarimo kasih. Erf"
46036,The menu's Indomie and toasts. The place is just the same as the other branches: comfortable for hanging out.,Menunyo indomie jo roti baka. Untuak tampek samo jo cabang nan lainnyo nyaman untuak kumpua.
46037,"Sambal with basil leaves, tomato and cayenne pepper. The flavour of this Sambal made the city called Cibiuk in Garut famous. fried gourami or with fried chicken. It tastes absolutely divine. Aside from Lengkong Cibiuk, they also have many other branches.","Sambal jo daun serawung, tomat, jo lado kutu. Raso sambal ko yang mambuek kota garut yang namonyo cibiuk jadi tanamo. Sambal ko bisa dinikmati jo gurame goreang ataupun jo ayam goreang. Rasonyo sabana lamak. Salain di lengkong cibiuk punyo lo banyak cabang."
46038,"""...Gramed's staff passed me...""",Awak alah konfirmasi ka pihak gramedia tapi dilempa-lempa ndak ado panjalehan. Pihak gramed sampai spv di outlet tu saliang malempa dan mengecekan ndak ado promo. Kecewa dilempa-lempa modetu
46039,"Good afternoon. If there's anything you'd like to ask, just mention us again. Thank you, Zan","Salamaik siang, jikok ado hal lain nan ka apak tanyoan bisa mention kami baliak. Tarimo kasih zan."
46040,"We think this place is ordinary, no fun attractions or views for a 10.000 / person ticket. Well duh, the view of the mountains is a no-brainer for highland locations like this. The culinary side doesn't offer much options compared to the other place.","Manuruik kami tampek ko biaso se ndak ado atraksi atau pamandangan nan manarik jo harago tiket 10000 / urang, kalau pamandangan gunuang yo emang alah saharusnyo dek talatak di daerah tinggi. Untuak wisata kuliner juo ndak talampau banyak piliahan bantuak tampek nan ciek lai."
46041,"I've been a Madtari regular since 2002. At the time this place was just a small tent that overflowed with customers at night. A few years ago, after they moved to a permanent building, I thought that was when the quality dropped slightly compared to the tent days. One thing's for sure, the price went up significantly, even more expensive when compared to similar stalls.","Awak alah manjadi palanggan madtari sajak tahun 2002, pas itu masih bantuak lapau tenda ketek nan sangaik rami malam hari. Babarapo tahun patang manampekan bangunan nan parmanen, sajak itu awak maraso kualitasnyo agak manurun dibandiangan jo pas di lapau tenda. Nan jaleh, harago naiak cukuik signifikan, dibandiangan lapau saroman, mungkin labiah maha."
46042,"First comment is that the venue is a banger, very nice service, and as for the chosen menu, it has to be the grilled fish and oxtail soup that I'd give a 4 for but for that iced fruit cocktail, I'd give a 5, yes!","Komentar partamo lah pasti venue yang kece, palayanan ramah bana, dan untuak menu yang dipiliah adolah ikan baka dan sop buntuiknyo yang wak agiah nilai 4 tapi untuak es buah tu wak agiah nilai 5 yo!"
46043,"Terjemahan di sheet Translation sudah benar, tapi di sheet ini tidak lengkap","Di restoran ko makanan yang disadioan banyak bana dan harago cukuik tajangkau, suasana yang lamak dan nyaman"
46044,I'm jealous of how you guys can find happiness,Den iri mancaliak kalian yang bisa basobok kabahagiaan.
46045,After topping up my balance I wanna buy some internet package but it just keeps failing and tells me to try again in 363 and it still doesn't work.,Siap bali pulsa nio daftar paket internet gagal taruih tu disuruah mengulang taruih di 363 dan tetap ndak bisa
46046,"The place is beautiful, especially at night with its decorative lights, so romantic. Perfect for couples. It's also far from the crowd. The air is so breezy, and we can see the town's beauty from above.","Tampeknyo sangaik rancak apo lai malam hari dihieh jo lampu-lampu, sangaik romantis. Cocok untuak pasangan. Jauah dari karamaian. Udaronyo sangaik dingin. Wak dapek maliek kaindahan kota dari ateh."
46047,"The food is great and eye-catching for pics, love 'em. Oh, but the drinks are also good and the place is super comfy for hanging out with friends.","Makanannyo lamak lamak dan eye catching untuak di foto, suko. Tapi minumannyo lamak juo dan tampeknyo nyaman untuak kumpual-kumpua jo kawan."
46048,"This is my second visit. Every food I tasted was great, and the place is just as charming as I remember it back then. I've never had any regrets dining here.","Iko kali kaduo kunjuangan awak. Sado makanan nan awak cubo lamak-lamak, dan tampeknyo masih sagagah dulu. Ndak pernah manyasa makan di siko."
46049,"The food are smoked chicken and cheese sandwich, while the drinks are juices. Tastes pretty good. The place is nice for those looking for peace and quiet away from noise.","Makanannyo smoked chicken dan cheese sandwich, minumannyo jus. Lumayan pas dan lamak. Tampeknyo memang lamak untuak nan nio suasana haniang santai jauah dari hiruak."
46050,Medicines without a doctor's prescription are best avoided by nursing mothers.,Ubek ndak baresep sarancaknyo diindari ibu manyusui
46051,"The more you know, the more jealous you get","Samakin banyak tahu, samakin cemburu."
46052,"Why should we give a paid leave to a lazy employee? Business is doing bad, and they wanna waste money? Think!",Karyawan maleh untuak apo diagiah cuti. Bisnis sadang buruak malah nio foya foya. Mikia lah!
46053,"This place, next to the flowing river and lush forest, with delicious food really makes me feel at home and perfect for resting. Many snacks are also availabel here, and the weather is cool.","Tampek nan badampiangan jo aia sungai dan rimbunnyo pohon-pohon dan makanan nan lamak mambuek betah dan cocok untuak baistirahat, berbagai jajanan tasadio pulo di tampek ko, hawanyo sajuak pulo."
46054,"Please, at the very least, I beg you, for the convinence of the customers, put a BNI ATM machine in Tigaraksa station.","Tolong yo minimal, demi kamudahan nasabah supayo di dalam stasiun tigaraksa diagiah masin atm bni"
46055,"Kupat Tahu Gempol is one of the legendary Kupat Tahu restos. The place isn't that large but its red color is pretty eye-catching near the three-way junction at Pasar Gempol. The portion is just right to satisfy your hunger. The defining characteristics of this kupat tahu are their soft and chewy tofu as well as their creamy peanut sauce, which go really well with lontong, bean sprouts, and red crisps. Absolutely delicious","Kupat tahu gempol marupoan salah ciek kupat tahu legendaris. Tampeknyo ndak talampau gadang tapi cukuik mancolok jo warna merahnyo di partigoan pasa gempol. Porsinyo pas bana untuak mahilangan lapa. Ciri khas dari kupat tahu ko adolah tahunyo yang lembut jo kenyal samo kuah kacangnyo pas di lidah, dipadu jo lontong, tauge jo karupuak merah. Lamak bana."
46056,"Oh I just had that too, man. My Freedom I package hasn't run out yet but I've been charged with internet fees. I need around 40 thousand credits to pay for that. What a robbery",Wah samo bantuak wak ko da sabanta kom paket freedom I wak alun abih tapi lah dibabanan tarif internet paralu sampai pulsa sakitar 40 ribu wak disedot maliang
46057,"This place is indeed inexpensive when compared to similar restos. But the food they serve is so-so and has nothing special about them. Most of the menus are just deep-fried fish or chickens. In other words, absolutely no food variations.",Rumah makan ko memang tagolong murah bilo dibandiangan jo rumah makan sajenisnyo. Namun makanan yang disadioan biaso se ndak ado yang istimewa. Sebagian gadang makanannyo hanyo ikan atau ayam jo caro masak digoreng. Bisa dikecekan menu makanannyo ndak ado variasi samo sakali.
46058,"The bathroom is far from decent, no hand soap provided for washing hands.","Kamar mandi jauah dari layak, untuak cuci tangan indak disadioan sabun."
46059,"The atmosphere is great for everyone, whether you're alone, with family, or sharing stories with close friends.","Suasananyo cocok untuak sado urang, baiak sanak nan nio surang, basamo kaluarga, maupun jo kawan-kawan dakek batuka carito"
46060,"Our family's favorite bakso. It's so flavourful and delicious. Coupled with iced orange juice and white crisps,. Super yummy stuff! Price is really affordable.The location is kinda in an alleyway but it's easy to spot because a lot of people know about the place.",Bakso favorit kami sakaluarga. Rasonyo gurih dan super lamak. Dikawani jo es jeruk dan karupuak putiah. Super yummy lah. Hargo sangaik tajangkau. Lokasi masuak gang ketek tapi mudah ditamuan dek banyak urang yang tau di lokasinyo.
46061,"Eating in a resto is no fun, you can't ask for a little opor ayam broth like in a warteg","Indak lamak makan di restoran, indak bisa mintak kuah opor ayam setek co di warteg."
46062,The increasing percentage of ride sharing customers forces Toyota to boldly spend up to $1 billion to Grab in order to save its automotive business,Maningkeknyo presentase paminat ride sharing membuaek toyota nekad maabihan dana sampai $1 miliar ka grab untuak manyalamaikan bisnis otomotifnyo.
46063,"The wonderful scenery of Bandung can be witnessed from Sierra Cafe Lounge. There are two options for locations, indoors and outdoors. A romantic site fit for couples and also to hang out with friends while we unwind, since the air is also cool and fresh. The food served is also delectable with varying choices. There's Indonesian culinary, Asian, and even European/Western dishes.","Pamandangan kota banduang nan indah dapek dicaliak dari sierra kafe lounge. Ado duo piliahan tampek, bisa dalam ruangan maupun di lua. Tampek nan romantis cocok untuak bapole dan cocok juo untuak kumpua samo kawan-kawan sambia malapeh panek, dek udaranyo sajuak dan manyagaran. Makanan yang disadioan lezat lo dan banyak piliahan. Ado makasan indonesia, asia, bahkan eropa."
46064,That house has a tall black fence,Rumah tu punyo paga gadang warna itam.
46065,"A unique restaurant, where you use sheets of banana leaves instead of plates. The food is pretty good","Restoran unik, di ma indak disadioan piriang, untuak makan manggunoan aleh daun pisang. Makanan cukuik lamak."
46066,My dad is an employee in net.TV,Ayak awak seorang pegawai net tv
46067,Indomie is often found in the nearest roadside stalls.,Indomie banyak disobokan di kadai-kadai tadakek.
46068,It's so hard to understand people who think they're always right,Sulik bana mangarati urang nan maraso bana se taruih
46069,"I was asked to find chocolate by Gordon Ramsay in a dream, but it got mixed with an Indomie broth. ",Mimpi disuruah mancari coklat samo gordon ramsay eh malah tacampua jo kuah indomie
46070,"Yeah sure, Mi Sedap has more portion, but when it comes to taste, the others are just far better in comparison.","Iyo sih mi sedap isinyo labiah banyak, tapi soal raso kalah jauah samo yang lain"
46071,"Wow the satay is amazing. Right spices, right seasonings, and fresh meat, all combined to make a damn good satay. The servers are also friendly.","Wah lamak bana, sate yang lamak bumbu yang pas, raso yang pas dan dagiang yang segar, sahinggo mahasilan sate yang sabana bana mantap. Palayanan yang ramah."
46072,"When I came here, it wasn't strawberry season so they were tiny and bad. So I just took whatever's given. __sad__.",Waktu datang ka siko sadang ndak musim stroberi jadi bi ketek-ketek dan ndak rancak. Jadi cuma ambiak saadonyo se. __sad__.
46073,"The inauguration of the airport train by the President of Indonesia is done symbolically by pushing a siren button that sounds the bell, accompanied by Minister of Transportation, Minister Of State-Owned Enterprises, Governor of Banten, Director General of Railway from the Ministry of Transportation, Director of AP2, Director of PT KAN, and the Director of Railink","Paresmian pengoperasian kareta api bandara oleh presiden ri jo simbolis, panekanan tombol sirine nan manyuarokan genta, didampiangan jo menteri perhubungan, menteri bumn, gubernur banten, dirjen pakaretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink"
46074,Most of the food in this restaurant aren't good,Masakan restoran ko rato-rato ndak lamak.
46075,"Perfect for a romantic dinner with your partner in sharing a moment together, the food is also delicious and classy","Cocok untuak makan malam romantis jo pasangan katiko marayoan momen baduo, makanannyo lamak dan bakelas."
